District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
0.0,47,1.0,7200000.0,31.0,18.0,6.0,5.28816842942,4.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0
0.0,48,1.0,7200000.0,32.0,19.0,6.0,5.52685995204,15.0,1.0,1.0,0.0,1.0,3.0,9.0,0.0
0.0,49,1.0,7220153.0,33.6,33.6,nan,4.90788360618,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0
0.0,50,1.0,7220153.0,33.6,33.6,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,3.0,nan,1.0
0.0,51,1.0,7250000.0,41.8,nan,nan,4.46400615034,11.0,1.0,1.0,0.0,0.0,27.0,44.0,1.0
0.0,52,1.0,7400000.0,32.0,19.5,6.0,4.00678499959,5.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0
0.0,53,2.0,7500000.0,45.0,30.0,6.0,6.19523429819,15.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0
0.0,54,1.0,7500000.0,35.2,17.0,8.5,6.04311657874,10.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0
0.0,55,2.0,7650000.0,43.0,36.0,6.0,5.80863193225,10.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0
0.0,56,2.0,10899000.0,42.0,30.0,6.5,2.8992103828,6.0,1.0,0.0,0.0,0.0,10.0,12.0,0.0
0.0,57,4.0,117000000.0,180.0,130.0,35.0,2.44900073376,10.0,1.0,0.0,0.0,1.0,4.0,10.0,0.0
0.0,58,4.0,495561199.0,261.3,nan,nan,2.18996121868,9.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0
0.0,59,2.0,7650000.0,43.0,36.0,6.0,5.80863193225,15.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0
0.0,60,1.0,7693500.0,34.0,nan,nan,2.84302385803,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0
0.0,61,1.0,7764334.0,32.2,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0
0.0,62,1.0,7800000.0,32.0,21.0,6.0,4.28564057019,4.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0
0.0,63,1.0,7800000.0,31.0,20.0,6.0,5.49774973813,13.0,1.0,1.0,1.0,1.0,7.0,9.0,0.0
0.0,64,1.0,7838741.0,34.9,34.9,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,3.0,nan,1.0
0.0,65,1.0,7850000.0,24.0,15.0,4.0,2.23460242374,4.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0
0.0,66,1.0,7863878.0,29.0,29.0,nan,4.9250390096,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0
0.0,67,1.0,7866000.0,34.0,19.0,9.0,2.84302385803,5.0,1.0,0.0,0.0,1.0,3.0,16.0,0.0
0.0,68,2.0,8000000.0,43.4,29.2,5.6,5.49665550218,7.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0
0.0,69,1.0,8000000.0,37.0,20.0,9.0,5.57707883471,8.0,0.0,1.0,1.0,1.0,2.0,14.0,0.0
0.0,70,1.0,8000000.0,35.0,20.0,10.0,5.39460451028,5.0,1.0,0.0,1.0,1.0,8.0,12.0,0.0
0.0,71,1.0,8002800.0,34.0,19.0,9.0,2.84302385803,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0
0.0,72,2.0,8010090.0,39.0,25.0,10.0,3.84804467832,5.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0
0.0,73,1.0,8076150.0,41.1,nan,nan,4.46400615034,5.0,1.0,1.0,0.0,0.0,3.0,39.0,1.0
0.0,74,2.0,8081363.0,55.2,55.2,nan,4.90788360618,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0
0.0,75,1.0,8081363.0,55.2,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0
0.0,76,2.0,8081363.0,55.2,nan,nan,4.9250390096,5.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0
0.0,77,1.0,8081363.0,55.2,55.2,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,2.0,nan,1.0
0.0,78,1.0,8100000.0,35.0,15.0,9.0,5.3213877457,7.0,1.0,0.0,1.0,0.0,2.0,17.0,0.0
0.0,79,1.0,8100000.0,31.0,19.0,6.0,4.26220885138,10.0,1.0,1.0,0.0,1.0,3.0,5.0,0.0
0.0,80,1.0,8112552.0,39.8,39.8,nan,4.90788360618,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0
0.0,81,1.0,8112552.0,39.8,39.8,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,2.0,nan,1.0
0.0,82,3.0,8150000.0,56.0,40.0,6.0,2.95269076309,4.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0
0.0,83,3.0,8150000.0,56.0,40.0,6.0,2.95269076309,5.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0
0.0,84,4.0,222272378.0,234.4,nan,nan,2.53205366597,15.0,1.0,0.0,0.0,0.0,6.0,8.0,0.0
0.0,85,5.0,64500000.0,197.9,158.0,nan,3.51913849625,12.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
0.0,86,nan,190000000.0,250.0,175.0,20.0,2.31582983539,9.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0
0.0,87,1.0,8157500.0,43.0,nan,nan,4.46400615034,7.0,1.0,0.0,0.0,0.0,3.0,44.0,0.0
0.0,88,2.0,8200000.0,44.6,32.3,5.6,5.18204118729,7.0,1.0,0.0,1.0,1.0,7.0,9.0,0.0
0.0,89,1.0,8200000.0,36.0,18.0,9.0,4.60053392555,11.0,1.0,0.0,0.0,1.0,12.0,12.0,0.0
0.0,90,1.0,8200000.0,40.0,20.0,8.5,5.99338836436,15.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0
